,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
83,tt0800308,movie,Appaloosa,Appaloosa,0,2008,\N,115,"Action,Crime,Drama"
84,tt1024648,movie,Argo,Argo,0,2012,\N,120,"Biography,Drama,Thriller"
85,tt0106308,movie,Army of Darkness,Army of Darkness,0,1992,\N,81,"Comedy,Fantasy,Horror"
86,tt0327437,movie,Around the World in 80 Days,Around the World in 80 Days,0,2004,\N,120,"Action,Adventure,Comedy"
87,tt0119822,movie,As Good as It Gets,As Good as It Gets,0,1997,\N,139,"Comedy,Drama,Romance"
88,tt0783233,movie,Atonement,Atonement,0,2007,\N,123,"Drama,Mystery,Romance"
89,tt0092593,movie,Au Revoir les Enfants,Au revoir les enfants,0,1987,\N,104,"Drama,War"
90,tt0426931,movie,August Rush,August Rush,0,2007,\N,114,"Drama,Music"
91,tt0455824,movie,Australia,Australia,0,2008,\N,165,"Adventure,Comedy,Drama"
92,tt0077711,movie,Autumn Sonata,Höstsonaten,0,1978,\N,99,"Drama,Music"
93,tt0499549,movie,Avatar,Avatar,0,2009,\N,162,"Action,Adventure,Fantasy"
94,tt2395427,movie,Avengers: Age of Ultron,Avengers: Age of Ultron,0,2015,\N,141,"Action,Adventure,Sci-Fi"
95,tt4154796,movie,Avengers: Endgame,Avengers: Endgame,0,2019,\N,181,"Action,Adventure,Drama"
96,tt4154756,movie,Avengers: Infinity War,Avengers: Infinity War,0,2018,\N,149,"Action,Adventure,Sci-Fi"
97,tt0099077,movie,Awakenings,Awakenings,0,1990,\N,121,"Biography,Drama"
98,tt6316138,movie,Ayla: The Daughter of War,Ayla: The Daughter of War,0,2017,\N,125,"Biography,Drama,History"
99,tt4849438,movie,Baahubali 2: The Conclusion,Bãhubali 2: The Conclusion,0,2017,\N,167,"Action,Drama"
100,tt2631186,movie,Baahubali: The Beginning,Bãhubali: The Beginning,0,2015,\N,159,"Action,Drama"
101,tt0106333,movie,Baazigar,Baazigar,0,1993,\N,175,"Crime,Drama,Musical"
102,tt3890160,movie,Baby Driver,Baby Driver,0,2017,\N,113,"Action,Crime,Drama"
103,tt0088763,movie,Back to the Future,Back to the Future,0,1985,\N,116,"Adventure,Comedy,Sci-Fi"
104,tt0096874,movie,Back to the Future Part II,Back to the Future Part II,0,1989,\N,108,"Adventure,Comedy,Sci-Fi"
105,tt0099088,movie,Back to the Future Part III,Back to the Future Part III,0,1990,\N,118,"Adventure,Comedy,Sci-Fi"
106,tt7725596,movie,Badhaai Ho,Badhaai ho,0,2018,\N,124,"Comedy,Drama"
107,tt3735246,movie,Bajirao Mastani,Bajirao Mastani,0,2015,\N,158,"Action,Drama,History"
108,tt3863552,movie,Bajrangi Bhaijaan,Bajrangi Bhaijaan,0,2015,\N,163,"Action,Adventure,Comedy"
109,tt0416496,movie,Bandidas,Bandidas,0,2006,\N,93,"Action,Comedy,Crime"
110,tt2082197,movie,Barfi!,Barfi!,0,2012,\N,151,"Comedy,Drama,Romance"
111,tt0072684,movie,Barry Lyndon,Barry Lyndon,0,1975,\N,185,"Adventure,Drama,History"
112,tt0372784,movie,Batman Begins,Batman Begins,0,2005,\N,140,"Action,Adventure"
113,tt0106364,movie,Batman: Mask of the Phantasm,Batman: Mask of the Phantasm,0,1993,\N,76,"Action,Animation,Crime"
114,tt0266308,movie,Battle Royale,Batoru rowaiaru,0,2000,\N,114,"Action,Adventure,Drama"
115,tt1365050,movie,Beasts of No Nation,Beasts of No Nation,0,2015,\N,137,"Drama,War"
116,tt0101414,movie,Beauty and the Beast,Beauty and the Beast,0,1991,\N,84,"Animation,Family,Fantasy"
117,tt0094721,movie,Beetlejuice,Beetle Juice,0,1988,\N,92,"Comedy,Fantasy"
118,tt2209418,movie,Before Midnight,Before Midnight,0,2013,\N,109,"Drama,Romance"
